Minimanga 2	-66.9315542364	10.4479919577	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 2 (OLT 2) Nap 663	-66.9242080835 10.448350373,-66.9241895182 10.4483869231	ff00ff44	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 2 (OLT 2) Nap 664	-66.9242080835 10.448350373,-66.9243491096 10.4484436344	ff00ff44	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 2 (OLT 2) Nap 665	-66.9242080835 10.448350373,-66.9246857268 10.4486071738	ff00ff44	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 2 (OLT 2) Nap 666	-66.9242080835 10.448350373,-66.9243705673 10.4484594608	ff00ff44	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 2 (OLT 2) Nap 667	-66.9242080835 10.448350373,-66.9247045023 10.4486335511	ff00ff44	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 2 (OLT 2) Nap 668	-66.9242080835 10.448350373,-66.9248775048 10.4486691605	ff00ff44	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 2 (OLT 2) Nap 669	-66.9242080835 10.448350373,-66.9252305568 10.4488593255	ff00ff44	__export__.isp_zone_8_d70ed9f2	cable
Drop 4 Caja nap 6610	-66.9242080835 10.448350373,-66.9241087085 10.4483471967,-66.924191857 10.448115076,-66.9244493491 10.4481968458,-66.9245244509 10.4481190326,-66.9246381794 10.4476525364	ff00ff44	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 7 (OLT 2) Calle Zea	-66.9303183293 10.441690817,-66.9303420846 10.4416792192,-66.9312927249 10.4412329888,-66.9308244503 10.4414338191,-66.9303206269 10.44161855,-66.9296768064 10.441645668,-66.9291878542 10.4416995276,-66.9283945795 10.4417223588,-66.927645404 10.4416670502,-66.9270381689 10.441729059,-66.9261605208 10.4417266994,-66.9261102017 10.4417613132	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 8 (OLT 2) El Estanque	-66.9303183293 10.441690817,-66.930626662 10.4415322139,-66.9308453367 10.4414975979,-66.9311350153 10.4414975979,-66.9312768929 10.4417220746,-66.9313409231 10.441999983,-66.9314088444 10.4424038224	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 8 (OLT 2) El Quilombo	-66.9303183293 10.441690817,-66.9306352351 10.441519331,-66.9306741271 10.4412225792,-66.9307215792 10.4410567175,-66.9308547706 10.4408007353,-66.9310944745 10.4407291563	ff00ffee	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 1 (OLT 3) El Estanque 13121, 13122 y 13123	-66.9303183293 10.441690817,-66.9300800427 10.4417033825,-66.9301196655 10.441883569,-66.9302449985 10.4419935394,-66.9303758749 10.4421537027,-66.9304838917 10.4423994426	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 1 (OLT 3) El Estanque 13124, 13125 y 13126	-66.9303183293 10.441690817,-66.9305939129 10.4419661679,-66.930866028 10.4424031972,-66.9304335251 10.4427719815	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 1 (OLT 3) El Estanque 13127 y 13128	-66.9303183293 10.441690817,-66.9306781753 10.4415385205,-66.9311261042 10.4415253315,-66.9309345561 10.441727883,-66.931137433 10.4421057803	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 2 (OLT 3) Gabriel del Avila	-66.9266350544 10.4416262163,-66.926291273 10.4417344872,-66.9260109822 10.4416579912,-66.9258178631 10.4418676956,-66.9257601956 10.4419824394,-66.9258259097 10.441975845,-66.9257669011 10.4420549786,-66.925828592 10.4420483841	ff00ff04	__export__.isp_zone_8_d70ed9f2	cable
Distribucion PON 2 (OLT 3) Cristobal Rojas	-66.9266350544 10.4416262163,-66.9285309623 10.441661449,-66.9285500058 10.4418093889,-66.928732396 10.4418159834,-66.928757877 10.4420256876,-66.9286758016 10.4423446362,-66.9284601518 10.4423857455,-66.9282818403 10.4425145755,-66.9281486954 10.4423679852,-66.928118496 10.4422147796,-66.928079604 10.4420828903,-66.9282271255 10.4420499179,-66.9283296243 10.4419737989,-66.9283725397 10.4420740349	ff0000ff	__export__.isp_zone_8_d70ed9f2	cable
